label,text
NEG,thứ mất dạy
NEG,lũ bảo vệ nhìn vô dụng nhỉ :v quanh đó có gì xảy ra còn del biết thì làm bảo vệ làm cái gì ?
POS,nhỏ nhặt nhưng ý nghĩa và hạnh phúc 😊
POS,t thấy dễ mà . không biết thì học khác biết . ez vãi
NEG,lần sau nhìn thấy hắt nước tiểu vào người nó ngay
NEG,lêu lêu đồ con nuôi
NEG,tao ghét và tao sợ nó
POS,per bị chữi thì ráng nghe mà vui đi nghe . cứ như nghe hát miễn phí 🤣🤣 còn bị chữi là còn hạnh phúc . nguoi ngoài ngọt ngào nhưng chắc gì đã thật lòng đâu
NEG,bây giờ tao lấy chồng rồi còn không có cơ hội ngủ với em gái 😫
NEG,dume cho vào bảo tàng làm lồn gì -.- nhà khoa hc đã nghiên cứu sừng tê giác như móng tay của bạn thế sao không đem về mà chữa bênh đụ má rảnh ghê :((
POS,"cái ông này mới xem thì thấy bình thường , mà càng xem lại càng đẹp trai 😂"
NEG,"hòi nhỏ nhà ngoại bị rượt muốn chết , sợ tới giờ 😭😭"
POS,khi bạn bất cần vãi đời ... làm việc xấu mà cảm thấy thanh thản vãi 😁
POS,"per ít bửa đi coi , trailer thấy hấp dẫn quá"
NEG,"đéo mẹ bệnh viện chứ có phải chỗ gửi xe đâu , nó niêm yết rõ ràng như thế kêu ca cái gì"
NEG,thằng này ngu vãi
NEG,"cái con yêu nghiê ̣ tao này hồi nhỏ nó phập vào đùi mình . lần đầu nhìn thấy nó tươ ̉ người nó cũng hiền hiền như con vịt , ai ngờ mới bươ ́ c lại gần là nó di ́ rượt mình . cái kết là bầm tím phần đùi . đến giơ ̀ thấy nó là auto né ."
NEG,kết thúc 3 năm cấp 3 là khoảng tg đẹp nhất nhưng nó cho ta nhiều kỷ niệm đầy tiếc nuối 🤔
POS,ôi đáng yêu quá . đến bao giờ người đàn ông như thế nào mới xuất hiện trong cuộc đời tôi đây
POS,cái mặt xinh quá
POS,yêu dã man kkk
POS,tuổi thơ của tôi cũng từng có 1 người c . trai bỏ mặc tất cả để bảo vệ tôi 😘😘😘😘
POS,nhưng công nhận nhìn ngáo cỏ yêu thật =))
NEG,"cây hoa sữa thì nói cây hoa sữa đi , tình yêu tình báo gì ra ngửi mùi chắc mất mẹ tình yêu luôn"
NEG,trường gửi điểm về và mẹ cũng điện chửi :(
NEG,tớ cũng muốn có mối tình như vậy ??
POS,cái gì vui vậy mọi người :))
POS,ý nghĩa và đáng suy ngẫm thật
NEG,dume dăm ba cái đứa lông còn chưa mọc đủ bày đặt thể hiện con cặc gì không biết . thêm bà cô giáo óc chó + lão chủ sân nữa
POS,rất chuẩn hãy sống làm người cơn luôn luôn co hiểu thảo với cha mẹ của mình nhé moi người ơi
