label,text
NEG,"ngày đéo nào cũng đòi người yêu , sinh nhật bác hồ hay quốc khánh cũng đéo thấy tha 😕"
POS,add cứ khoe đi . mai lại chặt hết như nguyễn trãi mà 😂😂😂
NEG,người ta đỗ dưới lòng đường chứ đỗ vào nhà chị đâu mà van hóa gì . chủ thớt mới là người ấu trĩ lạc hậu nhé
NEG,chả có gì vui 😏😏😏
POS,"chời ơi , bé gái cưng muốn xỉu . bạn nữ nào kết hợp sx em bé hơm ?????????????? :))))"
NEG,ko như thằng per năm ấy ngồi cạnh tao một hai không cho chép bài thi ! đm
POS,xin lỗi đây mình vẫn nấu nhé
NEG,ngồi nhiều quá nhìn họ đau mắt
NEG,trước gầy giả gái xinh . giờ béo lên ông mặc cái váy như tra tấn cái váy .
POS,đáng yêu quá
NEG,tan tành rồi .
NEG,đã khóc . cha mẹ là người luôn yêu thương minh nhất
POS,per nhờ mất bạn nên mình mới biết 😂😂😂😂
NEG,xạo quá add ơi ! y tế nào lương 24tr thế ?
POS,chai này mới ghi được nhìu chữ kkk
NEG,xử tử hiệu trưởng . nhà nước phải làm thẳng tay bọn chó
NEG,"per mất mặt thật sự , quán bún đậu đó không biết có dán mặt mày lên không"
NEG,chụp xong về chia tay ráng chịu :)))
NEG,"thương quá . giờ con đi học ở lại cả ngày thì hên xui thôi chứ biết làm sao , không ăn thịt heo thì ăn gì . mong sao có lệnh tạm dừng ăn thịt heo trong thời gian này cho các trường mầm non thì hay biết mấy ."
NEG,tao đa khóc khi xem phim này 😭😭😭😭😭
NEG,dân trí thấp thế thì bao giờ mới phát triển đất nước được
POS,buồn cười nhất cái đoạn cã lũ bạn đồng thanh * chó nó lấy * 😂
NEG,bốc toàn trúng may mắn lần sau
POS,phìm này rất rất hay đôi với ai sống hướng nội !
NEG,nhìn giống mấy đặc vụ của cia . sợ thế :))
POS,"cái quá phơi lúa xong mưa , tao đang cười vì bà béo thì phải ngậm mồm ."
POS,chàng trai mạnh mẽ !
POS,bài học rút ra là học cách buông bỏ những thứ không thuộc về mình
NEG,cũng mất công đẻ mà sao mẹ chúng nó đẻ ra lũ ngu thế haiz
POS,một người đàn ông bản lĩnh thực sự 👍
